"lon","lat","no2","campaign","code"
4.30035924963899,50.9523677453091,26.2,"facade","197286"
4.711042,50.86622,36.3,"facade","197292"
4.746748,51.03413,17.9,"facade","197301"
4.435128,51.22473,38.7,"facade","197307"
4.408424,51.19627,37.7,"facade","197310"
3.811359,50.82739,16.8,"facade","197313"
4.428364,51.20602,31.4,"facade","197319"
4.274902,51.14424,21.7,"facade","197322"
3.019938,50.90078,21,"facade","197334"
2.922182,51.2136,21.5,"facade","197337"
5.31973680770313,50.9196496131027,22.1,"facade","197343"
4.578544,51.10771,18.3,"facade","197361"
3.533906,50.97648,28,"facade","197376"
3.470929,51.0364,17.5,"facade","197400"
4.375076,51.11536,26.5,"facade","197403"
3.199158,50.91445,22.7,"facade","197406"
4.746232,50.87821,18.3,"facade","197415"
3.235174,51.2273,24.5,"facade","197418"
4.137021,51.08804,32.2,"facade","197424"
3.812106,51.03589,20.7,"facade","197430"
4.983639,51.17079,23.7,"facade","197439"
4.437312,51.21955,35.5,"facade","197448"
4.435691,51.1748,30.9,"facade","197451"
4.47212,51.13463,23.4,"facade","197457"
3.737103,50.99529,26.6,"facade","197475"
4.146855,50.98611,23.5,"facade","197481"
4.465559,51.16914,33.8,"facade","197487"
4.405764,51.19748,29.4,"facade","197493"
3.62508666924339,51.1104206045795,17.7,"facade","197499"
4.642166,51.14259,18.8,"facade","197508"
4.183499,51.02573,21,"facade","197526"
4.427952,51.32276,15,"facade","197556"
4.638485,51.06527,20.8,"facade","197574"
4.428605,51.19777,42.9,"facade","197589"
4.660615,50.93097,18.9,"facade","197595"
4.971028,51.32078,26.1,"facade","197604"
4.397642,51.168,27.2,"facade","197619"
3.72846,51.06781,44.4,"facade","197622"
4.345772,51.13933,24.2,"facade","197643"
4.426248,51.31379,37.9,"facade","197649"
4.240749,51.20634,38,"facade","197664"
5.215189,50.75528,16.5,"facade","197673"
4.67425,51.34635,21,"facade","197682"
4.084817,51.14589,37.5,"facade","197685"
3.723623,51.11078,24.6,"facade","197688"
4.953678,51.18517,19.2,"facade","197691"
5.299649,50.9491,18.2,"facade","197697"
4.480336,50.8825,25.5,"facade","197703"
4.57051669443351,51.213600785806,22,"facade","197724"
3.094138,51.11734,17.8,"facade","197727"
4.039914,51.12684,25.1,"facade","197739"
4.45730371902334,51.2465242274055,26.7,"facade","197748"
3.227643,50.8238,37.1,"facade","197751"
4.332451,51.09222,20.8,"facade","197760"
4.453667,51.20911,34.4,"facade","197766"
3.265462,50.8384,22.2,"facade","197781"
3.398204,51.07814,16.1,"facade","197784"
3.997319,51.11466,29.1,"facade","197796"
4.50465,50.77548,23.8,"facade","197820"
4.439912,51.16519,28.2,"facade","197826"
4.448527,51.178,23.6,"facade","197835"
4.224423,51.09153,18.5,"facade","197859"
5.787847,50.75218,20.1,"facade","197865"
3.203837,51.19308,25.9,"facade","197868"
3.221192,50.82724,25.9,"facade","197877"
4.059175,50.77011,15.5,"facade","197880"
4.794752,50.89437,16.5,"facade","197883"
4.485091,51.15698,30.4,"facade","197886"
3.150341,50.93417,28.8,"facade","197889"
5.509967,50.95952,16.1,"facade","197898"
4.437785,51.21666,37.7,"facade","197907"
3.044911,50.78256,21.6,"facade","197922"
4.244518,50.77527,20.7,"facade","197931"
4.704585,50.8604,20.3,"facade","197940"
3.13167386554286,50.9542750962531,26.3,"facade","197943"
3.097545,50.99804,19.4,"facade","197979"
4.445519,51.25912,31.6,"facade","197982"
4.401904,51.20153,29.5,"facade","197988"
4.124058,50.74614,15.6,"facade","197994"
4.418424,51.20314,35.2,"facade","198048"
3.709819,51.03217,23.8,"facade","198054"
2.936887,51.21341,26.8,"facade","198057"
3.207049,50.91988,30.9,"facade","198060"
3.691948,51.06464,36.2,"facade","198084"
4.401417,51.20488,33.7,"facade","198099"
4.291496,50.80068,30.2,"facade","198114"
2.850483,50.90092,20.9,"facade","198117"
3.163939,50.99036,19.8,"facade","198120"
4.320477,51.22067,28.5,"facade","198129"
3.709936,51.03271,22.5,"facade","198144"
4.562031,51.13107,39.3,"facade","198156"
3.18968300405705,51.1850095433858,23.7,"facade","198171"
3.956142,50.92648,44,"facade","198186"
4.747906,50.95535,23.5,"facade","198192"
4.242874,50.84123,28.3,"facade","198201"
4.619878,51.1479,19.7,"facade","198204"
4.444694,51.00187,22.3,"facade","198210"
4.627222,50.8718,16.9,"facade","198213"
5.078663,50.77719,15.9,"facade","198225"
4.753827,50.94288,21.8,"facade","198228"
4.41339889005087,51.195104258202,37.2,"facade","198234"
3.418428,50.89131,25.7,"facade","198237"
